Date,MKT_RF,SMB,HML,MOM,RF,cfnai,cpi_yoy,real_ff,ff_nominal,cpi_dir,cpi_med,curve,vix,indpro_yoy,usrec
1967-06,0.0242,0.058499999999999996,0.008,0.0601,0.0027,-0.30333333333333334,0.023183925811437467,0.016616074188562535,0.0398,-0.005494378427964186,0.014137931034482687,,,0.010855137446869279,0.0
1967-07,0.0458,0.0317,0.0275,-0.011000000000000001,0.0032,-0.17333333333333334,0.028412600370598895,0.009487399629401108,0.0379,0.0029309347397723506,0.014379404143558872,,,0.005987172004889629,0.0
1967-08,-0.009000000000000001,0.0043,0.0143,-0.0132,0.0031,-0.28,0.029275808936825687,0.009724191063174313,0.039,0.0038730827906050536,0.014620877252635056,,,-0.0017673150672272708,0.0
1967-09,0.031,0.0304,-0.024700000000000003,0.0239,0.0032,0.25333333333333335,0.026033690658499253,0.013866309341500752,0.039900000000000005,0.0028497648470617865,0.014620877252635056,,,0.016568702983924544,0.0
1967-10,-0.0308,0.0147,-0.0329,0.0368,0.0039000000000000003,0.2233333333333333,0.025954198473282508,0.012845801526717493,0.0388,-0.002458401897316387,0.014620877252635056,,,0.005540482976880146,0.0
1967-11,0.0037,0.0018,-0.0171,0.012199999999999999,0.0036,0.34,0.025875190258751957,0.01542480974124804,0.041299999999999996,-0.00340061867807373,0.014635821931257897,,,0.006754454703417068,0.0
1967-12,0.0305,0.0562,-0.0054,0.032,0.0033,0.4466666666666667,0.0310218978102188,0.0140781021897812,0.0451,0.004988207151719548,0.014650766609880739,,,0.028231385868011438,0.0
1968-01,-0.0403,0.039900000000000005,0.048499999999999995,-0.044500000000000005,0.004,0.8000000000000002,0.03280680437424044,0.013293195625759563,0.0461,0.006852605900957931,0.014663608788596183,,,0.036908578534837755,0.0
1968-02,-0.0374,-0.0294,0.0123,-0.0334,0.0039000000000000003,0.6366666666666666,0.03647416413373872,0.010625835866261285,0.0471,0.010598973874986761,0.014676450967311627,,,0.030929737402413116,0.0
1968-03,0.0021,-0.013000000000000001,-0.0063,0.0319,0.0038,0.32666666666666666,0.036363636363636376,0.01413636363636362,0.050499999999999996,0.005341738553417574,0.014706285798940288,,,0.04649179480553056,0.0
1968-04,0.0902,0.056600000000000004,-0.011000000000000001,0.051100000000000007,0.0043,0.12,0.039393939393939315,0.018206060606060684,0.0576,0.006587135019698875,0.01473612063056895,,,0.05571020988067876,0.0
1968-05,0.022799999999999997,0.0629,0.008199999999999999,0.0375,0.0045000000000000005,0.3166666666666667,0.0392749244712991,0.021925075528700905,0.061200000000000004,0.002800760337560382,0.014889684986213347,,,0.04735980867266654,0.0
1968-06,0.006999999999999999,-0.0019,0.0066,-0.0209,0.0043,0.39666666666666667,0.04229607250755274,0.018403927492447264,0.060700000000000004,0.005932436143916364,0.015043249341857745,,,0.06843132048899303,0.0
1968-07,-0.0269,-0.0128,0.053099999999999994,-0.0089,0.0048,0.3566666666666667,0.042042042042042205,0.018257957957957795,0.0603,0.00264810264810289,0.01511568749453951,,,0.07248928463192517,0.0
1968-08,0.013500000000000002,0.0242,0.009899999999999999,0.019,0.0042,0.39333333333333337,0.04491017964071853,0.015389820359281471,0.0603,0.005635255169419429,0.015188125647221273,,,0.07328828151216737,0.0
1968-09,0.0405,0.0274,0.003,-0.0064,0.0043,0.17666666666666667,0.04477611940298498,0.013023880597015022,0.057800000000000004,0.002480046895432242,0.015188125647221273,,,0.05604898112114998,0.0
1968-10,0.0043,-0.005,0.0282,-0.0146,0.0044,0.25,0.044642857142857206,0.014457142857142793,0.0591,0.0026008151008150016,0.015188125647221273,,,0.0617723404799746,0.0
1968-11,0.054299999999999994,0.023399999999999997,-0.0096,0.0174,0.0042,0.3566666666666667,0.047477744807121525,0.010722255192878477,0.0582,0.0025675651664029964,0.015203886414063783,,,0.05528905132956008,0.0
1968-12,-0.0393,0.0336,0.0004,0.0034000000000000002,0.0043,0.6233333333333334,0.04424778761061954,0.01595221238938046,0.0602,-0.000528331792365444,0.015219647180906293,,,0.0538643118697224,0.0
1969-01,-0.0125,-0.0063,0.0166,-0.0014000000000000002,0.0053,0.4633333333333333,0.04705882352941182,0.01594117647058818,0.063,0.0024159663865546133,0.01531221624859802,,,0.04592942652172005,0.0
1969-02,-0.058600000000000006,-0.039599999999999996,0.0089,-0.0252,0.0046,0.38999999999999996,0.04692082111436946,0.019179178885630546,0.0661,-0.0005569236927520649,0.015404785316289749,,,0.05338914207823331,0.0
1969-03,0.026600000000000002,-0.003,-0.0042,0.0406,0.0046,0.2866666666666667,0.04678362573099393,0.021116374269006075,0.0679,0.0025358381203743896,0.015412366411425737,,,0.056345796085016664,0.0
1969-04,0.0146,-0.008100000000000001,0.0002,0.0124,0.0053,0.4533333333333333,0.05247813411078739,0.02162186588921261,0.0741,0.005419310581375569,0.015419947506561726,,,0.061315593680248526,0.0
1969-05,-0.0009,-0.0032,0.0062,0.0177,0.0048,0.35666666666666663,0.05523255813953476,0.03146744186046524,0.0867,0.0083117370251653,0.015470872035975747,,,0.05588438542198726,0.0
1969-06,-0.0719,-0.053399999999999996,-0.011000000000000001,-0.0231,0.0051,0.18333333333333332,0.05507246376811592,0.03392753623188409,0.08900000000000001,0.008288838037121993,0.015521796565389767,,,0.04022203014423864,0.0
1969-07,-0.07,-0.032400000000000005,0.0118,0.0181,0.0053,0.13999999999999996,0.054755043227665556,0.03134495677233444,0.0861,0.0022769091168781674,0.015537205364097972,,,0.046541794499165734,0.0
1969-08,0.046900000000000004,0.008100000000000001,-0.0375,0.021400000000000002,0.005,0.18333333333333326,0.054441260744985565,0.03745873925501443,0.0919,-0.0007912973945491952,0.015552614162806178,,,0.05368318913236836,0.0
1969-09,-0.0297,0.0123,-0.0322,0.024300000000000002,0.0062,0.3366666666666666,0.05428571428571427,0.03721428571428573,0.0915,-0.0007867494824016497,0.015582214254398874,,,0.05316561168675826,0.0
1969-10,0.0506,0.0392,-0.031200000000000002,-0.0436,0.006,0.17999999999999997,0.056980056980056926,0.03301994301994307,0.09,0.0022250137523913693,0.01561181434599157,,,0.04895649798904289,0.0
1969-11,-0.038,-0.0255,-0.0125,0.036699999999999997,0.0052,0.18666666666666665,0.056657223796034106,0.03184277620396589,0.0885,0.0022159630510485417,0.015807269106941968,,,0.04718382879560434,0.0
1969-12,-0.0263,-0.0368,-0.0288,0.0527,0.0064,-0.2333333333333334,0.05932203389830515,0.030377966101694853,0.0897,0.005036319612590878,0.016002723867892366,,,0.024066315600629107,0.0
1970-01,-0.081,0.0291,0.0317,0.0058,0.006,-0.2800000000000001,0.0589887640449438,0.030811235955056207,0.0898,0.002008707064886872,0.016052891724606444,,,0.018102058474672056,1.0
1970-02,0.051399999999999994,-0.0239,0.0369,0.0027,0.0062,-0.8000000000000002,0.06162464985994376,0.028175350140056246,0.0898,0.004967426063909652,0.016103059581320522,,,-0.006757586927141013,1.0
1970-03,-0.0106,-0.0231,0.0408,-0.0037,0.005699999999999999,-0.5800000000000001,0.06424581005586605,0.013354189944133954,0.0776,0.0049237761575609,0.016121252192209612,,,-0.01372275514895549,1.0
1970-04,-0.1099,-0.061399999999999996,0.061399999999999996,-0.0083,0.005,-0.6933333333333334,0.06094182825484751,0.020058171745152495,0.081,0.0019530642099037099,0.0161394448030987,,,-0.022667525773195862,1.0
1970-05,-0.069,-0.0461,0.0332,-0.026600000000000002,0.0053,-0.47333333333333333,0.060606060606060774,0.018893939393939227,0.0795,-0.0010185892538829844,0.0162826001939278,,,-0.021581952179795305,1.0
1970-06,-0.057999999999999996,-0.0208,0.0044,0.056299999999999996,0.0058,-0.53,0.06043956043956045,0.015660439560439554,0.0761,-0.0038062496163056014,0.016425755584756896,,,-0.019012700234477875,1.0
1970-07,0.0692,-0.0055000000000000005,0.009300000000000001,-0.031200000000000002,0.0052,-0.43,0.060109289617486183,0.011990710382513814,0.0721,-0.0008325386373613242,0.01644197588322771,,,-0.03164778308655247,1.0
1970-08,0.045,0.0148,0.0141,-0.0668,0.0053,-0.19666666666666668,0.057065217391304435,0.00913478260869556,0.0662,-0.0035408432147563396,0.016458196181698526,,,-0.03436958818398328,1.0
1970-09,0.0418,0.0861,-0.0541,-0.0864,0.0054,-0.27666666666666667,0.05691056910569103,0.005989430894308964,0.0629,-0.0035289913338694134,0.016465713590662068,,,-0.038300261596375784,1.0
1970-10,-0.0227,-0.0417,0.0021,0.0946,0.0046,-0.4000000000000001,0.05660377358490565,0.005396226415094352,0.062,-0.0035055160325805357,0.01647323099962561,,,-0.04471367269366944,1.0
1970-11,0.0462,-0.0397,0.0158,0.026000000000000002,0.0046,-1.0033333333333334,0.05630026809651478,-0.0003002680965147886,0.055999999999999994,-0.0007649492947896519,0.016752039664337137,,,-0.06409817992507383,1.0
1970-12,0.0574,0.0282,0.0104,-0.023,0.0042,-1.1600000000000001,0.05600000000000005,-0.007000000000000048,0.049,-0.0009105691056909837,0.017030848329048665,,,-0.06091333941333177,0.0
1971-01,0.0483,0.0728,0.0155,-0.06860000000000001,0.0038,-0.39333333333333337,0.055702917771883076,-0.014302917771883077,0.0414,-0.0009008558130225719,0.017103538214678915,,,-0.03676159084098818,0.0
